Designator,Footprint,Quantity,Value,LCSC Part #
3V3LED1,0402,1,BLUE_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
C1,0402,1,4.2pF,
"C10, C11, C12, C13, C26, C7, C8",0402,7,0.1uF,
"C14, C27, C3, C6",0402,4,1uF,
"C15, C49",0402,2,100nF,
"C16, C23, C25, C5",0402,4,10uF,
C18,0402,1,47nF,
"C2, C9",0402,2,C,
"C20, C21",0603,2,10uF,
C22,0603,1,22uF,
C24,0402,1,4.7uF,
C32,0402,1,10n,
"C33, C34, C35, C46, C56",0402,5,1u,
"C36, C42",0402,2,24p,
C37,0402,1,10u,
"C38, C39, C40, C41, C44, C45, C53, C54",0402,8,100n,
C4,0402,1,10nF,
C43,0603,1,10u,
"C48, C52",1206,2,47uF,
C55,0402,1,2u2,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
FB1,0402,1,120R,
FL1,Filter_Mini-Circuits_FV1206-4,1,BFCN-5200,
"H1, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,3,MountingHole_Pad,
IC1,SiC437BEDT1GE3,1,SiC437BED-T1-GE3,
J1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,RBUS,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,Conn_Coaxial,
"J4, J5, J6, J7",JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,4,Conn_01x06_Pin,
J8,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Male,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TermJP,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
L4,INDPM110100X540N,1,3.3uH,
"R1, R2",0402,2,470,
R10,0603,1,0,
R11,0402,1,3000,
"R12, R13",0402,2,5.1k,
"R14, R16, R18, R19, R23, R3, R6, R7",0402,8,10k,
"R15, R22",0402,2,56k,
R17,0402,1,14k,
"R20, R26",0402,2,51k,
R21,0402,1,18k,
R24,0402,1,2.2,
R25,0402,1,100k,
"R27, R28, R29, R30, R31, R32, R33, R34, R35",0402,9,1k,
R4,0402,1,47.5,
R5,0402,1,499,
"R8, R9",0603,2,60,
"TP1, TP11, TP12, TP13, TP14, TP16, TP17, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,10,TestPoint,
"TP10, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,5,TestPoint,
TXLED1,0402,1,GREEN_LED,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,SOIC127P599X175-9N,1,SC4215,
U5,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U7,RTC6705,1,RTC6705,
U8,SOIC127P600X175-16N,1,HEF4051BT,
USBLED1,0402,1,USB_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz±10ppm,
Y2,Crystal_SMD_0603-4Pin_6.0x3.5mm,1,8MHz,
