Designator,Mid X,Mid Y,Rotation,Layer
3V3LED1,125.15,-68.39,180.0,top
BOOTJUMPER1,147.66,-65.88,270.0,top
C1,126.037637,-73.53,0.0,top
C10,131.25,-81.33,0.0,top
C11,133.2,-72.19,0.0,top
C12,140.2,-68.17,0.0,top
C13,146.73,-68.14,0.0,top
C14,140.205,-69.11,180.0,top
C15,138.81,-72.3,90.0,top
C16,137.88,-72.3,90.0,top
C18,148.62,-72.77,270.0,top
C2,132.094529,-68.316278,270.0,top
C20,153.2,-79.125,90.0,top
C21,151.72,-79.13,90.0,top
C22,146.61,-79.544999,90.0,top
C23,145.42,-81.443492,270.0,top
C24,145.41,-79.194999,90.0,top
C25,136.14,-78.47,270.0,top
C26,137.07,-78.48,270.0,top
C27,151.44,-81.54,270.0,top
C3,127.28,-71.18,180.0,top
C32,131.71,-92.77,90.0,top
C33,130.78,-92.77,90.0,top
C34,130.27,-91.36,0.0,top
C35,134.8,-92.0,180.0,top
C36,139.54,-88.14,270.0,top
C37,137.61,-102.73,0.0,top
C38,137.61,-99.94,0.0,top
C39,137.61,-100.87,0.0,top
C4,127.3,-72.14,180.0,top
C40,137.6122,-101.8,0.0,top
C41,137.61,-103.66,0.0,top
C42,131.8,-88.0,90.0,top
C43,139.725,-112.38,0.0,top
C44,139.155,-110.0432,180.0,top
C45,139.155,-111.11,180.0,top
C46,140.11,-103.51,90.0,top
C48,144.77,-94.305,270.0,top
C49,146.4,-95.04,270.0,top
C5,123.04,-75.34,90.0,top
C52,144.77,-98.915,270.0,top
C53,149.51,-90.84,90.0,top
C54,146.4,-97.52,90.0,top
C55,154.21,-96.43,270.0,top
C56,154.71,-94.12,180.0,top
C6,123.98,-75.34,90.0,top
C7,124.927637,-77.22,270.0,top
C8,125.857637,-75.34,90.0,top
C9,128.081329,-68.316278,90.0,top
D1,151.0,-72.31,180.0,top
D2,126.7,-83.94,270.0,top
ENJUMPER1,138.96,-65.88,90.0,top
FB1,129.83,-92.76,90.0,top
FL1,129.6132,-95.4615,180.0,top
IC1,150.394201,-95.1785,0.0,top
J1,163.21,-67.2,270.0,top
J2,121.41,-83.44,270.0,top
J3,120.77,-95.41,0.0,top
J4,144.0,-119.575,0.0,top
J5,120.72,-103.97,270.0,top
J6,161.17,-113.94,90.0,top
J7,128.0773,-119.575,0.0,top
J8,158.1,-93.5,270.0,top
L1,124.917637,-75.36,90.0,top
L2,129.394837,-71.5596,90.0,top
L3,149.185,-76.912073,180.0,top
L4,151.35,-104.81,90.0,top
R1,136.107637,-70.24,180.0,top
R10,144.29,-68.86,180.0,top
R11,127.63,-87.46,270.0,top
R12,125.94,-81.87,0.0,top
R13,126.1,-86.03,180.0,top
R14,155.4,-79.28,180.0,top
R15,137.05,-80.327777,270.0,top
R16,137.0,-82.2,270.0,top
R17,149.18,-82.87,0.0,top
R18,141.56,-102.11,180.0,top
R19,141.07,-103.51,90.0,top
R2,125.16,-69.343214,0.0,top
R20,151.0,-90.86,90.0,top
R21,154.26,-91.3,0.0,top
R22,152.4,-91.299999,0.0,top
R23,154.24,-92.730001,270.0,top
R24,148.55,-90.86,90.0,top
R25,151.94,-89.87,90.0,top
R26,154.71,-95.05,180.0,top
R27,125.97,-78.6,0.0,top
R28,151.9942,-116.7833,90.0,top
R29,153.9842,-116.7933,90.0,top
R3,140.54,-85.3,180.0,top
R30,123.5138,-111.96,0.0,top
R31,123.5038,-113.97,0.0,top
R32,158.39,-106.04,180.0,top
R33,158.39,-103.94,180.0,top
R34,136.0842,-116.7933,90.0,top
R35,138.0842,-116.7933,90.0,top
R4,125.037637,-72.59,0.0,top
R5,133.217637,-71.19,180.0,top
R6,138.35,-68.16,0.0,top
R7,148.59,-68.15,180.0,top
R8,147.42,-70.805,270.0,top
R9,147.41,-73.775,270.0,top
TXLED1,135.097637,-71.19,0.0,top
U1,131.050129,-76.754464,0.0,top
U2,142.98,-72.29,0.0,top
U3,155.69,-80.99,90.0,top
U4,141.24,-80.33,180.0,top
U5,149.17,-80.59,90.0,top
U7,135.6746,-95.9675,90.0,top
U8,133.0,-109.0,270.0,top
USBLED1,128.58,-88.49,90.0,top
Y1,130.094837,-68.3504,0.0,top
Y2,135.6625,-88.1025,180.0,top
